Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,Level,F_Level,cLevel,F_cLevel,pH,F_pH,Turb,F_Turb
elkapwq,P,5/1/2021 0:00,1,1,,17.6,<0> ,,<-3> [SSM],,<-3> [SSM],92.1,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 0:15,1,1,,17.5,<0> ,,<-3> [SSM],,<-3> [SSM],94.6,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 0:30,1,1,,17.2,<0> ,,<-3> [SSM],,<-3> [SSM],92.8,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 0:45,1,1,,17.1,<0> ,,<-3> [SSM],,<-3> [SSM],92.1,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 1:00,1,1,,17.1,<0> ,,<-3> [SSM],,<-3> [SSM],90.9,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 1:15,1,1,,16.9,<0> ,,<-3> [SSM],,<-3> [SSM],87.6,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 1:30,1,1,,16.8,<0> ,,<-3> [SSM],,<-3> [SSM],84.7,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 1:45,1,1,,16.8,<0> ,,<-3> [SSM],,<-3> [SSM],82.4,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 2:00,1,1,,17,<0> ,,<-3> [SSM],,<-3> [SSM],81,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 2:15,1,1,,16.9,<0> ,,<-3> [SSM],,<-3> [SSM],82.9,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 2:30,1,1,,16.9,<0> ,,<-3> [SSM],,<-3> [SSM],84.1,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
elkapwq,P,5/1/2021 2:45,1,1,,16.8,<0> ,,<-3> [SSM],,<-3> [SSM],82.6,<0> ,,<-3> [SCF],,<-1> ,,,,<-3> [SCF],,<-3> [GCR],8.1,<0> ,2,<0> 
