Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,Level,F_Level,cLevel,F_cLevel,pH,F_pH,Turb,F_Turb
elkvmwq,P,5/1/2021 0:00,1,1,,12.5,<0> ,49.87,<0> ,32.6,<0> ,100.5,<0> ,8.7,<0> ,,<-1> ,,,1.81,<0> ,1.73,<1> [GCS],8,<0> ,2,<0> 
elkvmwq,P,5/1/2021 0:15,1,1,,12.5,<0> ,49.88,<0> ,32.6,<0> ,99.6,<0> ,8.7,<0> ,,<-1> ,,,1.84,<0> ,1.76,<1> [GCS],8,<0> ,1,<0> 
elkvmwq,P,5/1/2021 0:30,1,1,,12.5,<0> ,49.88,<0> ,32.6,<0> ,100.4,<0> ,8.7,<0> ,,<-1> ,,,1.84,<0> ,1.76,<1> [GCS],8,<0> ,2,<0> 
elkvmwq,P,5/1/2021 0:45,1,1,,12.5,<0> ,49.89,<0> ,32.6,<0> ,101,<0> ,8.8,<0> ,,<-1> ,,,1.85,<0> ,1.77,<1> [GCS],8.1,<0> ,2,<0> 
elkvmwq,P,5/1/2021 1:00,1,1,,12.5,<0> ,49.88,<0> ,32.6,<0> ,98.7,<0> ,8.6,<0> ,,<-1> ,,,1.85,<0> ,1.77,<1> [GCS],8,<0> ,1,<0> 
elkvmwq,P,5/1/2021 1:15,1,1,,12.5,<0> ,49.9,<0> ,32.6,<0> ,98.2,<0> ,8.5,<0> ,,<-1> ,,,1.84,<0> ,1.76,<1> [GCS],8,<0> ,2,<0> 
elkvmwq,P,5/1/2021 1:30,1,1,,12.5,<0> ,49.89,<0> ,32.6,<0> ,101.9,<0> ,8.9,<0> ,,<-1> ,,,1.79,<0> ,1.71,<1> [GCS],8.1,<0> ,2,<0> 
elkvmwq,P,5/1/2021 1:45,1,1,,12.5,<0> ,49.88,<0> ,32.6,<0> ,99.6,<0> ,8.7,<0> ,,<-1> ,,,1.75,<0> ,1.67,<1> [GCS],8,<0> ,2,<0> 
elkvmwq,P,5/1/2021 2:00,1,1,,12.4,<0> ,49.89,<0> ,32.6,<0> ,99.7,<0> ,8.7,<0> ,,<-1> ,,,1.72,<0> ,1.64,<1> [GCS],8,<0> ,2,<0> 
elkvmwq,P,5/1/2021 2:15,1,1,,12.4,<0> ,49.9,<0> ,32.6,<0> ,101,<0> ,8.8,<0> ,,<-1> ,,,1.67,<0> ,1.59,<1> [GCS],8,<0> ,2,<0> 
elkvmwq,P,5/1/2021 2:30,1,1,,12.4,<0> ,49.9,<0> ,32.6,<0> ,102.2,<0> ,8.9,<0> ,,<-1> ,,,1.6,<0> ,1.52,<1> [GCS],8.1,<0> ,2,<0> 
elkvmwq,P,5/1/2021 2:45,1,1,,12.5,<0> ,49.9,<0> ,32.6,<0> ,102.1,<0> ,8.9,<0> ,,<-1> ,,,1.52,<0> ,1.44,<1> [GCS],8.1,<0> ,2,<0> 
elkvmwq,P,5/1/2021 3:00,1,1,,12.5,<0> ,49.91,<0> ,32.6,<0> ,101.9,<0> ,8.9,<0> ,,<-1> ,,,1.45,<0> ,1.38,<1> [GCS],8.1,<0> ,2,<0> 
elkvmwq,P,5/1/2021 3:15,1,1,,12.5,<0> ,49.91,<0> ,32.6,<0> ,100,<0> ,8.7,<0> ,,<-1> ,,,1.37,<0> ,1.3,<1> [GCS],8,<0> ,2,<0> 
elkvmwq,P,5/1/2021 3:30,1,1,,12.5,<0> ,49.92,<0> ,32.6,<0> ,99.1,<0> ,8.6,<0> ,,<-1> ,,,1.27,<0> ,1.2,<1> [GCS],8,<0> ,2,<0> 
elkvmwq,P,5/1/2021 3:45,1,1,,12.5,<0> ,49.92,<0> ,32.6,<0> ,97,<0> ,8.4,<0> ,,<-1> ,,,1.17,<0> ,1.1,<1> [GCS],8,<0> ,3,<0> 
elkvmwq,P,5/1/2021 4:00,1,1,,12.5,<0> ,49.93,<0> ,32.6,<0> ,94.9,<0> ,8.3,<0> ,,<-1> ,,,1.06,<0> ,0.99,<1> [GCS],8,<0> ,3,<0> 
elkvmwq,P,5/1/2021 4:15,1,1,,12.5,<0> ,49.91,<0> ,32.6,<0> ,92.5,<0> ,8,<0> ,,<-1> ,,,0.96,<0> ,0.89,<1> [GCS],8,<0> ,3,<0> 
elkvmwq,P,5/1/2021 4:30,1,1,,12.5,<0> ,49.91,<0> ,32.6,<0> ,90.8,<0> ,7.9,<0> ,,<-1> ,,,0.84,<0> ,0.77,<1> [GCS],8,<0> ,3,<0> 
elkvmwq,P,5/1/2021 4:45,1,1,,12.5,<0> ,49.92,<0> ,32.6,<0> ,89.6,<0> ,7.8,<0> ,,<-1> ,,,0.74,<0> ,0.67,<1> [GCS],8,<0> ,4,<0> 
elkvmwq,P,5/1/2021 5:00,1,1,,12.6,<0> ,49.8,<0> ,32.5,<0> ,88.4,<0> ,7.7,<0> ,,<-1> ,,,0.64,<0> ,0.57,<1> [GCS],8,<0> ,4,<0> 
elkvmwq,P,5/1/2021 5:15,1,1,,12.8,<0> ,49.78,<0> ,32.5,<0> ,88.1,<0> ,7.6,<0> ,,<-1> ,,,0.53,<0> ,0.46,<1> [GCS],8,<0> ,4,<0> 
elkvmwq,P,5/1/2021 5:30,1,1,,12.9,<0> ,49.92,<0> ,32.6,<0> ,87.6,<0> ,7.5,<0> ,,<-1> ,,,0.41,<0> ,0.33,<1> [GCS],8,<0> ,4,<0> 
elkvmwq,P,5/1/2021 5:45,1,1,,13.2,<0> ,50,<0> ,32.7,<0> ,87.7,<0> ,7.5,<0> ,,<-1> ,,,0.32,<0> ,0.24,<1> [GCS],8,<0> ,4,<0> 
elkvmwq,P,5/1/2021 6:00,1,1,,13.3,<0> ,50.03,<0> ,32.7,<0> ,86.5,<0> ,7.4,<0> ,,<-1> ,,,0.23,<0> ,0.15,<1> [GCS],8,<0> ,4,<0> 
elkvmwq,P,5/1/2021 6:15,1,1,,13.5,<0> ,50.02,<0> ,32.7,<0> ,86.2,<0> ,7.3,<0> ,,<-1> ,,,0.12,<0> ,0.04,<1> [GCS],8,<0> ,6,<0> 
elkvmwq,P,5/1/2021 6:30,1,1,,13.6,<0> ,50.07,<0> ,32.8,<0> ,85.4,<0> ,7.2,<0> ,,<-1> ,,,0.03,<0> ,-0.05,<1> [GCS],8,<0> ,3,<0> 
elkvmwq,P,5/1/2021 6:45,1,1,,13.9,<0> ,50.12,<0> ,32.8,<0> ,84.3,<0> ,7.1,<0> ,,<-1> ,,,-0.04,<0> ,-0.12,<1> [GCS],8,<0> ,3,<0> 
elkvmwq,P,5/1/2021 7:00,1,1,,14,<0> ,50.16,<0> ,32.9,<0> ,84.2,<0> ,7.1,<0> ,,<-1> ,,,-0.09,<0> ,-0.17,<1> [GCS],8,<0> ,3,<0> 
elkvmwq,P,5/1/2021 7:15,1,1,,14.2,<0> ,50.22,<0> ,32.9,<0> ,82.5,<0> ,6.9,<0> ,,<-1> ,,,-0.16,<0> ,-0.24,<1> [GCS],8,<0> ,3,<0> 
elkvmwq,P,5/1/2021 7:30,1,1,,14.2,<0> ,50.24,<0> ,32.9,<0> ,75.7,<0> ,6.3,<0> ,,<-1> ,,,-0.19,<0> ,-0.27,<1> [GCS],8,<0> ,2,<0> 
elkvmwq,P,5/1/2021 7:45,1,1,,14.2,<0> ,50.22,<0> ,32.9,<0> ,76.9,<0> ,6.4,<0> ,,<-1> ,,,-0.23,<0> ,-0.31,<1> [GCS],8,<0> ,11,<0> 
